Provider,Location,One_Day_Ahead,DateOne,Three_Days_Ahead,DateThree,Five_Days_Ahead,DateFive,Date_Scraped
DarkSky,Dublin,0.0515,2020-03-29,0.0456,2020-03-31,0.3598,2020-04-02,2020-03-28
DarkSky,Dublin,0.0551,2020-03-24,0.7292000000000001,2020-03-26,0.5123,2020-03-28,2020-03-23
DarkSky,Dublin,6.7555,2020-03-17,0.5381,2020-03-19,0.2113,2020-03-21,2020-03-16
DarkSky,Dublin,1.2866,2020-03-03,0.35750000000000004,2020-03-05,3.4923,2020-03-07,2020-03-02
DarkSky,Dublin,8.818100000000003,2020-02-13,9.277,2020-02-15,2.1035,2020-02-17,2020-02-12
DarkSky,Dublin,6.1068,2020-02-07,11.4959,2020-02-09,0.7248,2020-02-11,2020-02-06
DarkSky,Dublin,7.0183,2020-02-28,1.7317999999999998,2020-03-01,4.1076000000000015,2020-03-03,2020-02-27
DarkSky,Dublin,0.847,2020-03-06,2.6396,2020-03-08,1.9884,2020-03-10,2020-03-05
DarkSky,Dublin,2.2658,2020-03-12,2.4367,2020-03-14,0.08610000000000001,2020-03-16,2020-03-11
DarkSky,Dublin,0.1284,2020-03-31,0.9156,2020-04-02,0.3318,2020-04-04,2020-03-30
DarkSky,Dublin,5.252999999999999,2020-02-19,1.771,2020-02-21,2.1194,2020-02-23,2020-02-18
DarkSky,Dublin,0.1206,2020-03-25,0.238,2020-03-27,0.9442,2020-03-29,2020-03-24
DarkSky,Dublin,6.5175,2020-03-09,2.3965000000000005,2020-03-11,3.6514,2020-03-13,2020-03-08
DarkSky,Dublin,4.1906,2020-02-21,3.3184,2020-02-23,1.0545,2020-02-25,2020-02-20
DarkSky,Dublin,6.242000000000001,2020-02-16,2.3319,2020-02-18,2.8217,2020-02-20,2020-02-15
DarkSky,Dublin,0.3422,2020-03-30,0.4471000000000001,2020-04-01,1.2286,2020-04-03,2020-03-29
DarkSky,Dublin,0.0219,2020-03-23,1.8212,2020-03-25,0.2654,2020-03-27,2020-03-22
DarkSky,Dublin,10.6481,2020-03-04,4.2698,2020-03-06,7.011300000000001,2020-03-08,2020-03-03
DarkSky,Dublin,1.1378,2020-03-18,0.6406999999999999,2020-03-20,0.9403,2020-03-22,2020-03-17
DarkSky,Dublin,7.2056,2020-02-08,6.0653000000000015,2020-02-10,4.1896,2020-02-12,2020-02-07
DarkSky,Dublin,3.3284,2020-02-14,3.3302,2020-02-16,0.6615,2020-02-18,2020-02-13
DarkSky,Dublin,2.7263,2020-02-27,9.1354,2020-02-29,1.4177,2020-03-02,2020-02-26
DarkSky,Dublin,0.3872,2020-03-28,0.3178,2020-03-30,0.1854,2020-04-01,2020-03-27
DarkSky,Dublin,2.4771,2020-03-13,2.7748,2020-03-15,3.4248000000000003,2020-03-17,2020-03-12
DarkSky,Dublin,2.5239000000000003,2020-03-07,3.5421000000000005,2020-03-09,1.4080000000000001,2020-03-11,2020-03-06
DarkSky,Dublin,1.5149,2020-02-17,1.6583,2020-02-19,0.2193,2020-02-21,2020-02-16
DarkSky,Dublin,20.3667,2020-02-24,0.8297000000000001,2020-02-26,2.7262,2020-02-28,2020-02-23
